April 2019,Tamarindo,English,https://www.tamarindopodcast.com/,California,Vernon,"360 w. Avenue 26, unit 227",https://www.facebook.com/TamarindoPodcast/,https://twitter.com/TamarindoCast,https://www.instagram.com/tamarindopodcast/?hl=en,,Podcast,Commentary,Undefined,Local independent media,,2016,,,,,"5,000",Private funding,1-5
April 2019,Fox Deportes,Spanish,http://www.foxdeportes.com/,California,Los Angeles,,https://www.facebook.com/foxdeportes,https://twitter.com/FOXDeportes,https://www.instagram.com/foxdeportes/,https://www.youtube.com/user/FOXDeportesUS,TV,,,,Fox Entertainment Group/21st Century Fox,,,,,,,,
April 2019,Latino Journal,English,http://www.latinojournal.net/,California,Sacramento,1017 L St. #306,https://www.facebook.com/latinojournal/,https://twitter.com/LatinoJournal96,,,Magazine,,,,"José Pérez, fundador y editor",1996,,,,,,,
April 2019,El Valle de los Tercos,Spanish,http://www.elvalledelostercos.com/,California,San Francisco,145 Marlin Ct,https://www.facebook.com/elvalledelostercos/,https://twitter.com/SiliconTercos,https://www.instagram.com/elvalledelostercos/?hl=en,https://www.youtube.com/channel/UCFfr0oZjhfeoRXSPiAKuNiQ,Podcast,"News, Commentary, Interviews, Trends",Bi-weekly,,Tercos Media,2015,,,,,"5,000-6,000","Advertising, Memberships",1-5
April 2019,La Oferta,Spanish/English,http://www.laoferta.com/,California,San Jose,90B S White Rd,https://www.facebook.com/La-Oferta-Newspaper-106216102760631/,https://twitter.com/LaOferta1978,,https://www.youtube.com/channel/UC6605wwwbCTr7W8cNgoEWgg,Newspaper,,,,,1978,,,,,,,
April 2019,KSMS Univisión 67,Spanish,https://noticiasya.com/monterey-salinas/,California,Monterey,67 Garden Ct,https://www.facebook.com/NoticiasCostaCentral/,https://twitter.com/NotiYaCostaCen,https://www.instagram.com/notiyacostacen/,,TV,,,,Entravision Communications,,,,,,,,
April 2019,Kiqi1010 y KATD 990,Spanish,http://kiqi1010am.com/,California,San Francisco,"44 Gough St., Suite 301",,,,,Radio,,,,MRBI Inc.,,,,,,,,
April 2019,Hispanic Network Magazine,English,https://www.hnmagazine.com/,California,Irvine,"18 Technology Dr., Suite 170",https://www.facebook.com/hispanicnetworkmagazine/?tn-str=k*F,https://twitter.com/HNMagazine,https://www.instagram.com/hnmagazine/?hl=en,,Magazine,"Entertainment, Business",Monthly,Local independent media,,1993,,,,500,"50,000+","Advertising, Subscriptions/Sales of print product, Charge for content",21-50
April 2019,Telemundo 20 ,Spanish,https://www.telemundo20.com/,California,San Diego,9680 Granite Ridge Dr,https://www.facebook.com/TLMD20/,https://twitter.com/TLMD20,https://www.instagram.com/tlmd20/?hl=en,,TV,,,,NBC Universal,,,,,,,,
April 2019,Telemundo 48 Área de la Bahía,Spanish,https://www.telemundoareadelabahia.com/,California,San Jose,2450 North First St. ,https://www.facebook.com/Telemundo48/,https://twitter.com/Telemundo48,https://www.instagram.com/telemundo48/?hl=en,,TV,,,,NBC Universal,,,,,,,,
April 2019,Telemundo 52 Los Ángeles,Spanish,https://www.telemundo52.com/,California,Universal City,"100 Universal City Plaza, Bldg. 2120",https://www.facebook.com/Telemundo52,https://twitter.com/TELEMUNDO52,https://www.instagram.com/telemundo52/?hl=en,https://www.youtube.com/channel/UC8zodF4YUwrFU0oi_H_hwew,TV,,,,NBC Universal,,,,,,,,
April 2019,Univisión 21 Fresno,Spanish,https://www.Univision.com/fresno/kftv,California,Fresno,601 W Univision Plaza,https://www.facebook.com/Noticias21,https://twitter.com/UnivisionFresno,https://www.instagram.com/noticias21/?hl=en,,TV,,,,Univision ,,,,,,,,
April 2019,Univisión 19 Sacramento,Spanish,https://www.univision.com/sacramento/kuvs,California,Sacramento,1710 Arden Way,https://www.facebook.com/Univision19/,https://twitter.com/Univision19,https://www.instagram.com/univision19/?hl=en,,TV,,,,Univision ,,,,,,,,
April 2019,Univisión 34 Los Ángeles,Spanish,https://www.Univision.com/los-angeles/kmex,California,Los Angeles,5999 Center Dr,https://www.facebook.com/Univision34/,https://twitter.com/Univision34LA,https://www.instagram.com/univision34/?hl=en,,TV,,,,Univision ,,,,,,,,
April 2019,El Mundo,Spanish,http://www.oaklandpost.org/category/el-mundo/,California,Oakland,"360 14th St., Lower Level",,,,,Web,,,,The Post News Group,,,,,,,,
April 2019,Visión Hispana,Spanish/English,https://www.visionhispanausa.com/,California,Alameda,PO Box 1411,www.facebook.com/VisionHispanaNewspaper/,,,,Newspaper,"News, Arts and Culture, Entertainment, Commentary ",Bi-weekly,Local independent media,,2003,,,,900,"10,000 - 19,999. ",Advertising,1-5
April 2019,El Tímpano ,Spanish/English,https://www.eltimpano.org/,California,Oakland,PO Box 70281,,,,,Web-only,News,Undefined,Non-profit,,2018,,,,,"-5,000",Donations/Grants,1-5
April 2019,American Latino,English,http://www.americanlatino.tv/,California,Los Angeles,2323 Corinth Ave.,https://www.facebook.com/AmericanLatino,https://twitter.com/americanlatino,https://www.instagram.com/americanlatino/?hl=en,https://www.youtube.com/user/AmericanLatinoShow,TV,,,,LATV Networks,,,,,,,,
April 2019,CNET en español,Spanish,https://www.cnet.com/es/,California,San Francisco,235 Second St.,https://www.facebook.com/CNETenEspanol/,https://twitter.com/cnet_es,https://www.instagram.com/cnet_es/?hl=en,https://www.youtube.com/user/cnetenespanol,Web-only,Technology,Daily,,CBS Corporation. Subsidiaria local,2013,,,,,"150,000",Advertising,6-10
April 2019,KUCO Univisión 27,Spanish,,California,Redding,755 Auditorium Dr,,,,,TV,,,,"Sinclair Broadcast Group, Inc.",,,,,,,,
April 2019,KEUV Univisión 31,Spanish,,California,Eureka,540 E St.,,,,,TV,,,,"Sinclair Broadcast Group, Inc.",,,,,,,,
